80.62,1,SURTRK2,1000274,"APC - SCHNEIDER SMART-UPS RT 19"" RAIL KIT (FOR SURTD3000XLI, SURTD5000XLI, SURT6000XLI, SURT8000XLI, SURT10000XLI)",APC - SCHNEIDER
1618.33,6,MK452CI/A,3071292,"APPLE IMAC 21.5""/3.1QC/8GB/1TB-CHL",APPLE
1483.82,27,V11H601021,2858662,EPSON Proyector Bright Link 575Wi,EPSON
60.30,2,SURTRK5,1234002,"APC - SCHNEIDER APC RT 19"" Rail Kit for UPS RC 1/2/3kva",APC - SCHNEIDER
104.15,10,AIR-PWRINJ4=,1002388,CISCO AIRONET POWER SUPPLY,CISCO
473.34,21,J9776A,2335008,HPE HP 2530-24G SWITCH (10/100/1000),HPE
63.73,11,J9663A,1592661,HPE HP 1410-24 SWITCH(10/100),HPE
937.74,2,J9726A,2373561,HPE HP 2920-24G SWITCH (10/100/1000),HPE
115.99,38,DAP-2360,1688299,D-LINK DAP-2360 WIRELESS N300 POE ACCESS POINT,D-LINK
100.92,19,970 GAMING,3047359,MSI TARJETA MADRE 970 Gaming,
635.83,9,LH48RMDNLGG/ZS,3018334,SAMSUNG MON RM48IN TV USO16/7-1920x1080/2HDMI-VGA/350Nit //NOPLAYER,SAMSUNG
816.50,6,V11H478120,2088580,"EPSON Proyector Epson 1761W 2600 Lumenes/WXGA(1280X800), 2000:1 Contraste, Wireless Opc, HDMI",EPSON
232.93,16,785067-B21,2891171,HPE HP 300GB 12G SAS 10K 2.5IN SC ENT HDD,HPE
371.47,8,GTX 970 GAMING 4G,3047362,MSI TARJETA MADRE GTX 970 GAMING 4G,
246.09,1,ZBOX-CI321NANO-U-W2A,2987823,"ZOTAC ZBOX NANO, SFF, 2961Y, 2GDDR3, 32GB SSD, WIN 8.1 64BIT, 2.5"" SATAIII BAY, DUAL GLAN, WIFI, BT",
744.75,10,C31CB25024,2455855,EPSON  TM-H6000IV-024,EPSON
1975.31,1,JG934A,2773330,HPE HP 5130-48G-4SFP+ EI SWITCH,HPE
109.68,4,DGS-712,1074582,D-LINK 1000BaseT SFP (Mini-GBIC) Module,D-LINK
1079.16,1,CISCO2901/K9,1035053,Cisco 2901 w/2 GE 4 EHWIC 2 DSP 256MB CF,
27.27,6,AIR-PWR-B=,1000945,"CISCO Power Sply:100-240 VAC,Out:48VDC,380 mA:",CISCO
35.40,12,DIR-505,1992329,D-LINK Travel router All-in-One mobile companion,D-LINK
30.85,1,KT-151827-03R,1822246,ZEBRA MC90XX and MC9190-G Plastic Screen Guards (Pack of 3).,ZEBRA
120.22,8,B11B207231,2360596,EPSON ESCANER EPSON PERFECTION V370P (LATIN 220V S UGK),EPSON
